file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
kaliningrad,Калининград,в Калининграде,по Калининграду,Калининграда,"Калининград, Ленинский проспект, 30",3Ac7b8cf206341c57ecd942c29053cc8b23e2a65fcff2e73692716fe55080322a5,"Ленинский проспект, 30"
syktyvkar,Сыктывкар,в Сыктывкаре,по Сыктывкару,Сыктывкара,"Сыктывкар, Коммунистическая улица, 50",3Ad800bbe968a50a007ac24d9e8fab9abdf8f2938daaffcce0e9067634a1cc4736,"Коммунистическая улица, 50"
astrakhan,Астрахань,в Астрахани,по Астрахани,Астрахани,"Астрахань, Минусинская улица, 8",3Aad7835365d5d0e4b23312f414e925393e93ef5359dd672dbfe0d7a9a8a7bfd27,"Минусинская улица, 8"
stavropol,Ставрополь,в Ставрополе,по Ставрополю,Ставрополя,"Ставрополь, улица Доваторцев, дом 61",3A11cdae4b42428d5fb8c8a1f996c49edb397adf8cdfee9bd55500234abcb719b2,"улица Доваторцев, дом 61"
pyatigorsk,Пятигорск,в Пятигорске,по Пятигорску,Пятигорска,"Пятигорск, улица Адмиральского, дом 8Б",3Acaa2047a40bd41df5747198ce71436a258c7a29049b0917cad86c7d8b7da2b60,"улица Адмиральского, дом 8Б"
saratov,Саратов,в Саратове,по Саратову,Саратова,"Саратов, Политехническая улица, дом 75/2",3A069a2f52af9bea3ebccfa76bb2d5a58bf27f0824c6668a02472806396cd36e68,"Политехническая улица, дом 75/2"
engels,Энгельс,в Энгельсе,по Энгельсу,Энгельса,"Энгельс, улица Тельмана, 25",3A239ea00a6cf40a86ed5132d48930778f9ec1fb53297ee4286457abd2ed17c3f3,"улица Тельмана, 25"
balakovo,Балаково,в Балаково,по Балаково,Балаково,"Балаково, Октябрьская улица, дом 125",3Af6e559705952cfe48bc81de248a585b3e8c6e95558507327844c3de067527915,"Октябрьская улица, дом 125"
penza,Пенза,в Пензе,по Пензе,Пензы,"Пенза, улица Кирова, 73",3A7580c76af8d01f0eb28c59ca80728e482c25ef1f8a493e756082445f9e645bdc,"улица Кирова, 73"
ulyanovsk,Ульяновск,в Ульяновске,по Ульяновску,Ульяновска,"Ульяновск, Московское шоссе, 108",3Ad662a05d28369282d43465428517be273979c9487da5395ab23841d0ef44b084,"Московское шоссе, 108"
dimitrovgrad,Димитровград,в Димитровграде,по Димитровграду,Димитровграда,"Димитровград, Проспект Ленина, дом 35А",3Aecb4e3c49bf5ab4c94398982404477cd6beebd45a11e1961f15090c4c879cf1c,"Проспект Ленина, дом 35А"
orenburg,Оренбург,в Оренбурге,по Оренбургу,Оренбурга,"Оренбург, Ноябрьская улица, 47/1",3A24315a23cf8965a03fe085cdde30562dd24e0ff0c10b6121cc322d0c520fd91f,"Ноябрьская улица, 47/1"
orsk,Орск,в Орске,по Орску,Орска,"Орск, проспект Мира, д. 15Д",3A7b2178a8362409373ae956f6066cfd638ff3a087879e0f1aba2e04dec1905fd1,"проспект Мира, д. 15Д"
kurgan,Курган,в Кургане,по Кургану,Кургана,"Курган, улица Рихарда Зорге, д. 41",3Aca22948dc98fca0347929bcba243160f72a614058991bdfd01b1ca4c23cfe91f,"улица Рихарда Зорге, д. 41"
tomsk,Томск,в Томске,по Томску,Томска,"Томск, проспект Мира, 48, к. 3",3Aee8b9f0e9e0e4c1c41f2120160767aee6fe3e1dc3c2cdbf480faedc0b61f950f,"проспект Мира, 48, к. 3"
seversk,Северск,в Северске,по Северску,Северска,"Северск, улица Курчатова, 11А",3A579e721201abce3e9ff5f688cf54b72f7e536c55504af217e3b2dd0cc5f86eae,"улица Курчатова, 11А"
kemerovo,Кемерово,в Кемерово,по Кемерово,Кемерово,"Кемерово, проспект Кузнецкий, 33а",3Aa364cc72e69ec8a50713b31298450fffdb930fe25234ff6e0fdaaf71782a1de1,"проспект Кузнецкий, 33а"
novokuznetsk,Новокузнецк,в Новокузнецке,по Новокузнецку,Новокузнецка,"Новокузнецк, Проспект Авиаторов, дом 55",3Aa6d7ca000b0043978af74296ea12a275ddb1402e06cf9f3741f88543f3081a07,"Проспект Авиаторов, дом 55"
prokopyevsk,Прокопьевск,в Прокопьевске,по Прокопьевску,Прокопьевска,"Прокопьевск, Улица Гайдара, дом 41",3A794fec157936e983d077a34326455eea083cc0d80e2854fabb4692bc00a3b2bc,"Улица Гайдара, дом 41"
mezhdurechensk,Междуреченск,в Междуреченске,по Междуреченску,Междуреченска,"Междуреченск, улица Строителей, 46В",3A74476edc52688a4520fc59a6a02563eb1fc377e85b810e6d5adf8bff6e13b2b1,"улица Строителей, 46В"
irkutsk,Иркутск,в Иркутске,по Иркутску,Иркутска,"Иркутск, улица Александра Невского, 114",3A439cbd74a26089efc75ff57308bc7df4b48559eb191efa1fb62e81758b111906,"улица Александра Невского, 114"
bratsk,Братск,в Братске,по Братску,Братска,"Братск, улица Крупской, 9А",3A3688b0f7546688d293308152f5158b10b7007b67b65a36471c590e2ce1931989,"улица Крупской, 9А"
angarsk,Ангарск,в Ангарске,по Ангарску,Ангарска,"Ангарск, микрорайон 12А, 42",3Add330e4f92252d21f4fc94a2b12a93830b0f36ada7236b3fee8a1169be11723c,"микрорайон 12А, 42"
ust-ilimsk,Усть-Илимск,в Усть-Илимске,по Усть-Илимску,Усть-Илимска,"Усть-Илимск, проспект Мира, 41/1",3A68512662b35f1049aa3bcc8a4167645f8a1178956a4b3ba6b16428bc7386e033,"проспект Мира, 41/1"
ulan-ude,Улан-Удэ,в Улан-Удэ,по Улан-Удэ,Улан-Удэ,"Улан-Удэ, улица Балтахинова, 15",3Adcf740d9873c8162c5115a730e6d2bfa5903d21651f55a80a3a59dcea0553f2d,"улица Балтахинова, 15"
barnaul,Барнаул,в Барнауле,по Барнаулу,Барнаула,"Барнаул, проспект Ленина, 154",3A835058e097336f9a8f84d25288f609b8e7645693764d1570dbf71e33ad5db21e,"проспект Ленина, 154"
biysk,Бийск,в Бийске,по Бийску,Бийска,"Бийск, Советская улица, 205, корп. 2",3Aa20def5dd32b6d1f8f8b227729df3eb4b0aff350e8ad96260c763266a9a0126f,"Советская улица, 205, корп. 2"
rubtsovsk,Рубцовск,в Рубцовске,по Рубцовску,Рубцовска,"Рубцовск, улица Тракторная, 17",3A1af50272a3a83cde395d257b936ef6f15b8796e2c2bf80ca604107bb80f56fb3,"улица Тракторная, 17"
